Year,Month,Day,Global Solar Radiation (MJ/m&sup2;) - King's Park_Value,completeness
1978,11,1,***,
1978,11,2,***,
1978,11,3,***,
1978,11,4,***,
1978,11,5,***,
1978,11,6,***,
1978,11,7,***,
1978,11,8,***,
1978,11,9,***,
1978,11,10,***,
1978,11,11,***,
1978,11,12,***,
1978,11,13,***,
1978,11,14,***,
1978,11,15,***,
1978,11,16,***,
1978,11,17,***,
1978,11,18,***,
1978,11,19,***,
1978,11,20,***,
1978,11,21,***,
1978,11,22,***,
1978,11,23,***,
1978,11,24,***,
1978,11,25,***,
1978,11,26,***,
1978,11,27,***,
1978,11,28,***,
1978,11,29,***,
1978,11,30,***,
1978,12,1,17.66,C
1978,12,2,17.98,C
1978,12,3,17.17,C
1978,12,4,16.25,C
1978,12,5,13.72,C
1978,12,6,15.86,C
1978,12,7,17.69,C
1978,12,8,16.29,C
1978,12,9,17.23,C
1978,12,10,14.99,C
1978,12,11,17.48,C
1978,12,12,16.59,C
1978,12,13,16.61,C
1978,12,14,17.29,C
1978,12,15,17.52,C
1978,12,16,17.19,C
1978,12,17,13.88,C
1978,12,18,10.77,C
1978,12,19,10.67,C
1978,12,20,6.07,C
1978,12,21,10.88,C
1978,12,22,14.10,C
1978,12,23,14.38,C
1978,12,24,1.75,C
1978,12,25,3.95,C
1978,12,26,6.75,C
1978,12,27,14.79,C
1978,12,28,14.24,C
1978,12,29,14.10,C
1978,12,30,16.03,C
1978,12,31,14.71,C
1979,1,1,15.92,C
1979,1,2,11.85,C
1979,1,3,13.18,C
1979,1,4,10.04,C
1979,1,5,14.36,C
1979,1,6,16.03,C
1979,1,7,14.06,C
1979,1,8,12.03,C
1979,1,9,10.41,C
1979,1,10,11.57,C
1979,1,11,13.98,C
1979,1,12,6.47,C
1979,1,13,13.16,C
1979,1,14,3.40,C
1979,1,15,2.96,C
1979,1,16,3.52,C
1979,1,17,10.15,C
1979,1,18,10.87,C
1979,1,19,3.81,C
1979,1,20,11.96,C
1979,1,21,10.35,C
1979,1,22,12.30,C
1979,1,23,10.50,C
1979,1,24,14.62,C
1979,1,25,14.30,C
1979,1,26,12.81,C
1979,1,27,17.33,C
1979,1,28,11.82,C
1979,1,29,10.42,C
1979,1,30,3.17,C
1979,1,31,6.31,C
1979,2,1,16.81,C
1979,2,2,6.52,C
1979,2,3,2.41,C
1979,2,4,3.55,C
1979,2,5,6.94,C
1979,2,6,11.68,C
1979,2,7,13.02,C
1979,2,8,16.56,C
1979,2,9,15.90,C
1979,2,10,10.41,C
1979,2,11,13.44,C
1979,2,12,14.25,C
1979,2,13,6.86,C
1979,2,14,11.14,C
1979,2,15,16.56,C
1979,2,16,19.32,C
1979,2,17,17.10,C
1979,2,18,10.91,C
1979,2,19,13.83,C
1979,2,20,11.95,C
1979,2,21,11.43,C
1979,2,22,6.35,C
1979,2,23,2.32,C
1979,2,24,4.99,C
1979,2,25,3.58,C
1979,2,26,3.85,C
1979,2,27,4.37,C
1979,2,28,1.99,C
1979,3,1,4.29,C
1979,3,2,2.51,C
1979,3,3,17.66,C
1979,3,4,15.96,C
1979,3,5,17.32,C
1979,3,6,7.99,C
1979,3,7,5.39,C
1979,3,8,5.46,C
1979,3,9,10.18,C
1979,3,10,6.70,C
1979,3,11,7.16,C
1979,3,12,2.84,C
1979,3,13,3.05,C
1979,3,14,3.75,C
1979,3,15,3.07,C
1979,3,16,4.31,C
1979,3,17,1.91,C
1979,3,18,2.44,C
1979,3,19,3.43,C
1979,3,20,3.93,C
1979,3,21,9.41,C
1979,3,22,3.02,C
1979,3,23,9.91,C
1979,3,24,9.66,C
1979,3,25,3.51,C
1979,3,26,2.69,C
