Year,Month,Day,Prevailing Wind Direction (°)_ King's Park_Value,completeness
1992,7,1,180,#
1992,7,2,180,#
1992,7,3,230,C
1992,7,4,220,C
1992,7,5,220,C
1992,7,6,230,#
1992,7,7,280,#
1992,7,8,120,C
1992,7,9,170,C
1992,7,10,170,C
1992,7,11,130,C
1992,7,12,120,C
1992,7,13,130,C
1992,7,14,120,C
1992,7,15,280,C
1992,7,16,290,C
1992,7,17,120,C
1992,7,18,210,C
1992,7,19,170,C
1992,7,20,130,C
1992,7,21,100,C
1992,7,22,130,#
1992,7,23,140,C
1992,7,24,130,C
1992,7,25,130,C
1992,7,26,130,C
1992,7,27,130,C
1992,7,28,130,C
1992,7,29,280,C
1992,7,30,270,#
1992,7,31,280,C
1992,8,1,170,C
1992,8,2,170,C
1992,8,3,280,C
1992,8,4,280,#
1992,8,5,280,#
1992,8,6,280,C
1992,8,7,280,#
1992,8,8,280,C
1992,8,9,120,C
1992,8,10,130,#
1992,8,11,130,C
1992,8,12,130,C
1992,8,13,130,#
1992,8,14,130,#
1992,8,15,130,C
1992,8,16,030,C
1992,8,17,010,C
1992,8,18,020,C
1992,8,19,270,C
1992,8,20,010,C
1992,8,21,110,C
1992,8,22,110,C
1992,8,23,110,C
1992,8,24,120,#
1992,8,25,120,C
1992,8,26,120,C
1992,8,27,260,#
1992,8,28,270,C
1992,8,29,350,C
1992,8,30,320,C
1992,8,31,280,C
1992,9,1,270,C
1992,9,2,270,C
1992,9,3,260,C
1992,9,4,270,C
1992,9,5,270,C
1992,9,6,270,C
1992,9,7,130,C
1992,9,8,120,#
1992,9,9,120,C
1992,9,10,270,C
1992,9,11,120,#
1992,9,12,120,C
1992,9,13,120,C
1992,9,14,270,C
1992,9,15,280,C
1992,9,16,280,C
1992,9,17,120,C
1992,9,18,110,C
1992,9,19,110,C
1992,9,20,120,C
1992,9,21,360,C
1992,9,22,350,#
1992,9,23,270,#
1992,9,24,260,C
1992,9,25,120,C
1992,9,26,110,C
1992,9,27,120,C
1992,9,28,110,#
1992,9,29,110,C
1992,9,30,120,C
1992,10,1,110,C
1992,10,2,120,C
1992,10,3,120,C
1992,10,4,120,C
1992,10,5,030,C
1992,10,6,120,C
1992,10,7,120,C
1992,10,8,120,C
1992,10,9,120,C
1992,10,10,110,C
1992,10,11,020,C
1992,10,12,020,C
1992,10,13,010,#
1992,10,14,010,C
1992,10,15,010,C
1992,10,16,010,#
1992,10,17,020,C
1992,10,18,020,C
1992,10,19,020,C
1992,10,20,120,C
1992,10,21,120,C
1992,10,22,110,C
1992,10,23,110,C
1992,10,24,030,C
1992,10,25,120,C
1992,10,26,120,C
1992,10,27,120,#
1992,10,28,120,C
1992,10,29,120,C
1992,10,30,120,C
1992,10,31,120,C
1992,11,1,110,C
1992,11,2,110,C
1992,11,3,120,C
1992,11,4,120,C
1992,11,5,120,C
1992,11,6,120,C
1992,11,7,110,C
1992,11,8,120,C
1992,11,9,010,#
1992,11,10,030,C
1992,11,11,030,C
1992,11,12,020,#
1992,11,13,120,C
1992,11,14,120,C
1992,11,15,260,C
1992,11,16,120,#
1992,11,17,120,C
1992,11,18,120,C
1992,11,19,280,C
1992,11,20,020,C
1992,11,21,120,C
1992,11,22,120,C
1992,11,23,120,C
1992,11,24,100,C
1992,11,25,040,#
1992,11,26,120,#
1992,11,27,110,C
1992,11,28,010,C
1992,11,29,270,C
1992,11,30,120,C
1992,12,1,110,C
1992,12,2,120,C
1992,12,3,120,C
1992,12,4,120,C
1992,12,5,120,C
1992,12,6,120,C
1992,12,7,270,C
1992,12,8,120,#
1992,12,9,120,C
1992,12,10,120,C
1992,12,11,110,C
1992,12,12,120,#
1992,12,13,120,C
1992,12,14,120,C
1992,12,15,010,C
1992,12,16,120,C
1992,12,17,120,C
1992,12,18,120,C
1992,12,19,120,C
1992,12,20,120,C
1992,12,21,120,#
