Year,Month,Day,Mean Relative Humidity (%) - King's Park_Value,completeness
1992,7,1,80,C
1992,7,2,81,C
1992,7,3,79,C
1992,7,4,82,C
1992,7,5,81,C
1992,7,6,85,C
1992,7,7,91,C
1992,7,8,83,C
1992,7,9,82,C
1992,7,10,84,C
1992,7,11,80,C
1992,7,12,81,C
1992,7,13,86,C
1992,7,14,83,C
1992,7,15,69,C
1992,7,16,71,C
1992,7,17,86,C
1992,7,18,94,C
1992,7,19,82,C
1992,7,20,84,C
1992,7,21,80,C
1992,7,22,85,C
1992,7,23,88,C
1992,7,24,86,C
1992,7,25,83,C
1992,7,26,82,C
1992,7,27,82,C
1992,7,28,80,C
1992,7,29,80,C
1992,7,30,82,C
1992,7,31,84,C
1992,8,1,81,C
1992,8,2,80,C
1992,8,3,74,C
1992,8,4,76,C
1992,8,5,78,C
1992,8,6,80,C
1992,8,7,80,C
1992,8,8,84,C
1992,8,9,84,C
1992,8,10,83,C
1992,8,11,87,C
1992,8,12,82,C
1992,8,13,82,C
1992,8,14,81,C
1992,8,15,79,C
1992,8,16,71,C
1992,8,17,63,C
1992,8,18,66,C
1992,8,19,65,C
1992,8,20,74,C
1992,8,21,90,C
1992,8,22,91,C
1992,8,23,90,C
1992,8,24,88,C
1992,8,25,80,C
1992,8,26,77,C
1992,8,27,77,#
1992,8,28,80,C
1992,8,29,62,C
1992,8,30,55,C
1992,8,31,59,C
1992,9,1,63,C
1992,9,2,71,C
1992,9,3,65,C
1992,9,4,72,C
1992,9,5,72,C
1992,9,6,85,C
1992,9,7,89,C
1992,9,8,87,C
1992,9,9,85,C
1992,9,10,85,C
1992,9,11,85,C
1992,9,12,84,C
1992,9,13,81,C
1992,9,14,80,C
1992,9,15,78,C
1992,9,16,82,C
1992,9,17,78,C
1992,9,18,75,C
1992,9,19,78,C
1992,9,20,75,C
1992,9,21,63,C
1992,9,22,57,C
1992,9,23,64,C
1992,9,24,74,C
1992,9,25,69,C
1992,9,26,75,C
1992,9,27,71,C
1992,9,28,71,C
1992,9,29,84,C
1992,9,30,79,C
1992,10,1,86,C
1992,10,2,81,C
1992,10,3,82,C
1992,10,4,80,C
1992,10,5,74,C
1992,10,6,71,C
1992,10,7,70,C
1992,10,8,68,C
1992,10,9,70,C
1992,10,10,67,C
1992,10,11,58,C
1992,10,12,60,C
1992,10,13,65,C
1992,10,14,56,C
1992,10,15,50,C
1992,10,16,48,C
1992,10,17,41,C
1992,10,18,48,C
1992,10,19,53,C
1992,10,20,63,C
1992,10,21,63,C
1992,10,22,68,C
1992,10,23,69,C
1992,10,24,54,C
1992,10,25,45,C
1992,10,26,52,C
1992,10,27,59,C
1992,10,28,69,C
1992,10,29,62,C
1992,10,30,60,C
1992,10,31,74,C
1992,11,1,64,C
1992,11,2,60,C
1992,11,3,71,C
1992,11,4,72,C
1992,11,5,79,C
1992,11,6,81,C
1992,11,7,78,C
1992,11,8,77,C
