Year,Month,Day,Daily Mean Amount of Cloud (%) at the Hong Kong Observatory_Value,completeness
1949,1,1,68,C
1949,1,2,92,C
1949,1,3,90,C
1949,1,4,94,C
1949,1,5,97,C
1949,1,6,96,C
1949,1,7,96,C
1949,1,8,55,C
1949,1,9,0,C
1949,1,10,42,C
1949,1,11,81,C
1949,1,12,41,C
1949,1,13,56,C
1949,1,14,0,C
1949,1,15,0,C
1949,1,16,0,C
1949,1,17,1,C
1949,1,18,4,C
1949,1,19,5,C
1949,1,20,17,C
1949,1,21,22,C
1949,1,22,1,C
1949,1,23,24,C
1949,1,24,20,C
1949,1,25,1,C
1949,1,26,11,C
1949,1,27,27,C
1949,1,28,72,C
1949,1,29,91,C
1949,1,30,94,C
1949,1,31,77,C
1949,2,1,76,C
1949,2,2,45,C
1949,2,3,72,C
1949,2,4,89,C
1949,2,5,98,C
1949,2,6,88,C
1949,2,7,82,C
1949,2,8,89,C
1949,2,9,99,C
1949,2,10,97,C
1949,2,11,100,C
1949,2,12,89,C
1949,2,13,87,C
1949,2,14,78,C
1949,2,15,15,C
1949,2,16,7,C
1949,2,17,28,C
1949,2,18,28,C
1949,2,19,8,C
1949,2,20,20,C
1949,2,21,80,C
1949,2,22,90,C
1949,2,23,79,C
1949,2,24,98,C
1949,2,25,96,C
1949,2,26,95,C
1949,2,27,95,C
1949,2,28,94,C
1949,3,1,83,C
1949,3,2,70,C
1949,3,3,65,C
1949,3,4,82,C
1949,3,5,68,C
1949,3,6,98,C
1949,3,7,80,C
1949,3,8,88,C
1949,3,9,89,C
1949,3,10,100,C
1949,3,11,95,C
1949,3,12,79,C
1949,3,13,90,C
1949,3,14,76,C
1949,3,15,99,C
1949,3,16,99,C
1949,3,17,88,C
1949,3,18,86,C
1949,3,19,92,C
1949,3,20,94,C
1949,3,21,88,C
1949,3,22,94,C
1949,3,23,98,C
1949,3,24,99,C
1949,3,25,100,C
1949,3,26,98,C
1949,3,27,95,C
1949,3,28,90,C
1949,3,29,93,C
1949,3,30,92,C
1949,3,31,68,C
1949,4,1,88,C
1949,4,2,64,C
1949,4,3,72,C
1949,4,4,97,C
1949,4,5,99,C
1949,4,6,100,C
1949,4,7,100,C
1949,4,8,100,C
1949,4,9,84,C
1949,4,10,88,C
1949,4,11,90,C
1949,4,12,100,C
1949,4,13,100,C
1949,4,14,92,C
1949,4,15,88,C
1949,4,16,95,C
1949,4,17,99,C
1949,4,18,97,C
1949,4,19,92,C
1949,4,20,78,C
1949,4,21,69,C
1949,4,22,37,C
1949,4,23,29,C
1949,4,24,22,C
1949,4,25,41,C
1949,4,26,44,C
1949,4,27,50,C
1949,4,28,53,C
1949,4,29,57,C
1949,4,30,84,C
1949,5,1,92,C
1949,5,2,84,C
1949,5,3,69,C
1949,5,4,90,C
1949,5,5,69,C
1949,5,6,29,C
1949,5,7,72,C
1949,5,8,86,C
1949,5,9,98,C
1949,5,10,97,C
1949,5,11,84,C
1949,5,12,87,C
1949,5,13,80,C
1949,5,14,89,C
1949,5,15,97,C
1949,5,16,99,C
1949,5,17,77,C
1949,5,18,71,C
1949,5,19,43,C
1949,5,20,44,C
1949,5,21,65,C
1949,5,22,77,C
1949,5,23,89,C
1949,5,24,79,C
1949,5,25,62,C
1949,5,26,59,C
1949,5,27,71,C
1949,5,28,82,C
1949,5,29,71,C
1949,5,30,78,C
1949,5,31,82,C
1949,6,1,62,C
1949,6,2,59,C
1949,6,3,68,C
1949,6,4,81,C
1949,6,5,82,C
1949,6,6,84,C
1949,6,7,86,C
1949,6,8,89,C
1949,6,9,93,C
1949,6,10,93,C
1949,6,11,92,C
1949,6,12,85,C
1949,6,13,86,C
1949,6,14,82,C
1949,6,15,85,C
1949,6,16,89,C
1949,6,17,78,C
1949,6,18,78,C
1949,6,19,74,C
1949,6,20,79,C
1949,6,21,77,C
1949,6,22,69,C
1949,6,23,92,C
1949,6,24,100,C
1949,6,25,100,C
1949,6,26,98,C
1949,6,27,87,C
1949,6,28,82,C
1949,6,29,83,C
1949,6,30,77,C
1949,7,1,82,C
1949,7,2,82,C
1949,7,3,80,C
1949,7,4,64,C
1949,7,5,44,C
1949,7,6,58,C
1949,7,7,64,C
1949,7,8,61,C
1949,7,9,68,C
1949,7,10,88,C
1949,7,11,84,C
1949,7,12,79,C
1949,7,13,84,C
1949,7,14,93,C
1949,7,15,86,C
1949,7,16,79,C
1949,7,17,66,C
1949,7,18,38,C
1949,7,19,50,C
1949,7,20,27,C
1949,7,21,40,C
