Year,Month,Day,Max UV Indices(15-minute average) - King's Park_Value,Time recorded,completeness
1999,8,1,13,12:15-12:30,C
1999,8,2,8,13:15-13:30,C
1999,8,3,8,11:45-12:00,C
1999,8,4,9,12:00-12:15,C
1999,8,5,12,13:15-13:30,C
1999,8,6,8,10:30-10:45,C
1999,8,7,7,13:30-13:45,C
1999,8,8,12,11:45-12:00,C
1999,8,9,6,13:00-13:15,C
1999,8,10,11,12:00-12:15,C
1999,8,11,10,13:00-13:15,C
1999,8,12,4,12:30-12:45,C
1999,8,13,2,11:30-11:45,C
1999,8,14,9,13:00-13:15,C
1999,8,15,10,12:00-12:15,C
1999,8,16,11,13:30-13:45,C
1999,8,17,12,12:15-12:30,C
1999,8,18,11,12:00-12:15,C
1999,8,19,6,11:30-11:45,C
1999,8,20,***,***,C
1999,8,21,11,13:15-13:30,C
1999,8,22,2,11:30-11:45,C
1999,8,23,3,13:15-13:30,C
1999,8,24,7,12:45-13:00,C
1999,8,25,2,12:30-12:45,C
1999,8,26,11,11:45-12:00,C
1999,8,27,10,10:45-11:00,C
1999,8,28,8,10:45-11:00,C
1999,8,29,6,13:30-13:45,C
1999,8,30,***,***,C
1999,8,31,***,***,C
1999,9,1,9,11:30-11:45,C
1999,9,2,10,12:00-12:15,C
1999,9,3,9,11:30-11:45,C
1999,9,4,5,11:15-11:30,C
1999,9,5,7,14:15-14:30,C
1999,9,6,12,12:15-12:30,C
1999,9,7,12,12:15-12:30,C
1999,9,8,9,10:15-10:30,C
1999,9,9,11,12:30-12:45,C
1999,9,10,12,12:00-12:15,C
1999,9,11,12,11:45-12:00,C
1999,9,12,***,***,C
1999,9,13,***,***,C
1999,9,14,***,***,C
1999,9,15,6,13:00-13:15,C
1999,9,16,2,11:00-11:15,C
1999,9,17,4,12:00-12:15,C
1999,9,18,8,13:15-13:30,C
1999,9,19,6,12:15-12:30,C
1999,9,20,***,***,C
1999,9,21,9,11:30-11:45,C
1999,9,22,9,12:15-12:30,C
1999,9,23,9,12:30-12:45,C
1999,9,24,9,12:30-12:45,C
1999,9,25,4,13:15-13:30,C
1999,9,26,2,13:15-13:30,C
1999,9,27,10,12:00-12:15,C
1999,9,28,7,13:00-13:15,C
1999,9,29,10,12:15-12:30,C
1999,9,30,9,12:15-12:30,C
1999,10,1,8,11:45-12:00,C
1999,10,2,10,12:30-12:45,C
1999,10,3,9,13:30-13:45,C
1999,10,4,7,10:15-10:30,C
1999,10,5,8,12:15-12:30,C
1999,10,6,8,11:45-12:00,C
1999,10,7,9,11:30-11:45,C
1999,10,8,7,14:00-14:15,C
1999,10,9,7,12:00-12:15,C
1999,10,10,7,11:45-12:00,C
1999,10,11,7,12:15-12:30,C
1999,10,12,9,12:45-13:00,C
1999,10,13,8,12:00-12:15,C
1999,10,14,9,12:00-12:15,C
1999,10,15,8,12:00-12:15,C
1999,10,16,7,12:30-12:45,C
1999,10,17,8,12:00-12:15,C
1999,10,18,5,10:15-10:30,C
1999,10,19,5,12:45-13:00,C
1999,10,20,7,11:15-11:30,C
1999,10,21,8,12:00-12:15,C
1999,10,22,7,12:15-12:30,C
1999,10,23,7,12:00-12:15,C
1999,10,24,8,12:15-12:30,C
1999,10,25,8,12:15-12:30,C
1999,10,26,7,11:45-12:00,C
1999,10,27,7,11:45-12:00,C
1999,10,28,7,12:15-12:30,C
1999,10,29,8,12:15-12:30,C
1999,10,30,3,10:45-11:00,C
1999,10,31,8,11:45-12:00,C
1999,11,1,7,12:00-12:15,C
1999,11,2,7,11:15-11:30,C
1999,11,3,7,12:15-12:30,C
1999,11,4,8,12:15-12:30,C
1999,11,5,7,12:15-12:30,C
1999,11,6,6,13:15-13:30,C
1999,11,7,8,11:30-11:45,C
1999,11,8,6,12:15-12:30,C
1999,11,9,4,11:15-11:30,C
1999,11,10,6,11:30-11:45,C
1999,11,11,6,12:45-13:00,C
1999,11,12,2,14:15-14:30,C
1999,11,13,5,12:00-12:15,C
1999,11,14,6,12:00-12:15,C
1999,11,15,6,11:45-12:00,C
1999,11,16,5,12:15-12:30,C
1999,11,17,5,12:00-12:15,C
1999,11,18,4,12:00-12:15,C
1999,11,19,5,11:15-11:30,C
1999,11,20,6,12:15-12:30,C
1999,11,21,6,12:30-12:45,C
1999,11,22,4,12:15-12:30,C
1999,11,23,6,11:45-12:00,C
1999,11,24,6,12:15-12:30,C
1999,11,25,5,12:30-12:45,C
1999,11,26,5,12:15-12:30,C
1999,11,27,6,12:15-12:30,C
1999,11,28,6,12:00-12:15,C
1999,11,29,5,11:30-11:45,C
1999,11,30,6,12:00-12:15,C
1999,12,1,5,12:00-12:15,C
1999,12,2,6,11:45-12:00,C
1999,12,3,4,11:00-11:15,C
1999,12,4,3,13:15-13:30,C
1999,12,5,5,13:30-13:45,C
1999,12,6,3,11:45-12:00,C
1999,12,7,5,12:15-12:30,C
1999,12,8,5,12:00-12:15,C
1999,12,9,6,12:00-12:15,C
1999,12,10,5,12:45-13:00,C
1999,12,11,6,12:15-12:30,C
1999,12,12,3,11:15-11:30,C
1999,12,13,5,12:45-13:00,C
1999,12,14,5,12:45-13:00,C
1999,12,15,5,12:30-12:45,C
1999,12,16,2,10:45-11:00,C
1999,12,17,2,11:45-12:00,C
1999,12,18,2,12:45-13:00,C
1999,12,19,4,13:00-13:15,C
1999,12,20,5,12:15-12:30,C
1999,12,21,5,12:15-12:30,C
1999,12,22,5,12:15-12:30,C
1999,12,23,5,12:30-12:45,C
1999,12,24,5,12:15-12:30,C
1999,12,25,5,11:45-12:00,C
1999,12,26,5,12:15-12:30,C
1999,12,27,3,12:45-13:00,C
1999,12,28,5,12:15-12:30,C
1999,12,29,3,13:30-13:45,C
1999,12,30,5,12:00-12:15,C
1999,12,31,6,12:15-12:30,C
2000,1,1,5,12:00-12:15,C
2000,1,2,4,12:30-12:45,C
2000,1,3,5,12:30-12:45,C
2000,1,4,5,12:00-12:15,C
2000,1,5,6,12:30-12:45,C
2000,1,6,5,11:45-12:00,C
2000,1,7,4,13:00-13:15,C
2000,1,8,***,***,C
2000,1,9,5,12:30-12:45,C
2000,1,10,6,13:00-13:15,C
2000,1,11,6,12:30-12:45,C
2000,1,12,5,13:45-14:00,C
2000,1,13,3,11:45-12:00,C
2000,1,14,2,13:15-13:30,C
2000,1,15,5,13:30-13:45,C
2000,1,16,6,12:15-12:30,C
2000,1,17,4,11:00-11:15,C
2000,1,18,2,13:30-13:45,C
2000,1,19,5,12:00-12:15,C
